日,"び,じつ,ひ,か,にち"
情,"なさ,なさけ,じょう,せい"
投,"な,なげる,とう"
示,"しめ,しめす,し,じ"
変,"かわり,かえる,へん,かわる,か"
打,"うつ,うち,う,だあす,ぶ,だ"
直,"なおる,ちょく,じき,ただ,ただす,じか,す,なお,なおす"
両,"てる,ふたつ,りょう"
式,しき
確,"たしかめる,かく,たし,たしか,こう"
果,"はたす,はて,はてる,はた,は,か"
容,"い,よう"
必,"かなら,かならず,ひつ"
演,えん
歳,"とし,よわい,さい,せい,とせ"
争,"あらそう,そう,いか,あらそい,あらそ"
談,だん
能,"よ,のう"
位,"くらい,ぐらい,い"
置,"お,おく,ち"
流,"ながす,ながれ,ながれる,りゅう,なが,る"
格,"かく,こう,きゃく,ごう"
疑,"うたが,うたがう,うたがい,ぎ"
過,"あやまち,あやまつ,あやま,すぎる,す,すごす,よ,か"
局,"つぼね,きょく"
放,"こ,はなつ,はな,ほう,っぱな,はなす,はなれる"
常,"つね,とこ,じょう"
状,じょう
球,"たま,きゅう"
職,"しょく,そく"
与,"あずか,くみ,ともに,あたえる,よ,あた"
供,"そな,そなえる,そなえ,ども,ぐ,とも,くう,く,きょう"
役,"やく,えき"
構,"かま,かまえる,かまう,こう"
割,"われる,かつ,わる,さく,さ,わり,わ"
費,"つい,ついやす,ひ"
付,"づけ,つ,つき,つける,づき,づ,づく,づける,ふ,つく"
由,"ゆ,よし,ゆう,よ,ゆい"
説,"と,とく,せつ,ぜい"
難,"むずかしい,にく,むづか,かたい,むつか,なん,がた,むずか,かた,かたさ"
優,"やさし,ゆう,う,すぐ,やさ,やさしさ,すぐれる,まさ"
夫,"おっと,それ,ふ,ふう,ぶ"
収,"おさ,おさめる,おさまる,しゅう"
断,"た,ことわり,だん,ことわる,さだ,ことわ,たつ"
石,"いし,せき,しゃく,こく"
違,"い,たが,ちがう,ちが,ちがえる"
消,"けす,きえる,き,け,しょう"
神,"じん,かん,かみ,しん,こう"
番,"つが,ばん"
規,き
術,"すべ,じゅつ"
備,"そな,び,つぶさ,そなわる,そなえる"
宅,たく
害,がい
配,"くば,くばる,はい"
警,"いまし,けい"
育,"そだ,いく,そだつ,はぐく,そだてる"
席,"むしろ,せき"
訪,"たず,おとず,と,おとずれる,ほう,たずねる"
乗,"のり,の,のせる,しょう,じょう,のる"
残,"のこり,のこす,ざん,のこる,のこ,さん,そこな"
想,"おも,そう,そ"
声,"こえ,こわ,せい,しょう"
念,ねん
助,"たすける,たす,たすかる,じょ,す,すけ"
労,"ろう,いた,ねぎら,いたわ,つか"
例,"たと,たとえる,れい"
然,"しか,さ,ぜん,ねん"
限,"かぎる,かぎり,かぎ,げん"
追,"おう,お,つい"
商,"あきな,あきなう,あきない,しょう"
葉,"は,よう"
伝,"つたえる,てん,づた,つて,つたい,つたう,つた,つだ,でん,つたわる"
働,"どう,ろく,はたらく,はたら,りき,りょく,はたらき,りゅく"
形,"ぎょう,がた,かた,かたち,なり,けい"
景,けい
落,"お,おちる,おとす,らく"
好,"い,いい,よい,すく,すき,このむ,す,よ,このみ,この,こう"
退,"の,しりぞける,しりぞく,ど,たい,ひ,しりぞ"
頭,"かぶり,と,あたま,とう,かしら,ず,がしら"
負,"まかす,お,ま,おう,まける,ふ,まけ"
渡,"わた,わたる,わたす,と"
失,"うしな,うしなう,う,しつ"
差,"さ,さす,さし"
末,"すえ,まつ,ばつ"
守,"まもる,もり,す,しゅ,まもり,まも,かみ"
若,"もし,わかい,にゃ,も,わか,じゃく,ごと,にゃく"
種,"たね,ぐさ,しゅ"
美,"うつく,うつくしい,び,み"
命,"いのち,めい,みょう"
福,ふく
望,"もち,のぞみ,のぞむ,ぼう,のぞ,もう"
非,"あら,ひ"
観,"み,しめ,かん"
察,さつ
段,"だん,たん"
横,"よこ,おう"
深,"ふかまる,み,ぶか,ふか,ふかめる,ふかい,しん"
申,"もうし,もう,さる,しん,もうす"
様,"さま,さん,よう,しょう"
財,"たから,ざい,さい,ぞく"
港,"みなと,こう"
識,"し,しる,しき"
呼,"よ,よぶ,こ"
達,"たち,たつ,だ"
良,"い,りょう,いい,よい,よ"
候,"そうろう,こう"
程,"ほど,てい"
満,"みたす,み,みつ,ばん,まん,みちる"
敗,"やぶれる,やぶ,はい"
値,"ね,あたい,ち"
突,"つ,つく,とつ,か"
光,"ひか,ひかる,ひかり,こう"
路,"じ,みち,ろ,る"
科,か
積,"せき,つ,つもる,づ,つもり,つむ"
他,"ほか,た"
処,"ところ,こ,お,しょ"
太,"た,ふと,ふとる,ふとった,ふとさ,ふとい,たい"
客,"きゃく,かく"
否,"いな,いや,ひ"
師,"もろもろ,なら,し,す"
登,"ちょう,どう,と,とう,のぼる,のぼ,あ,しょう"
易,"やす,い,やすい,えき,やさ,やさしい"
