日,"び,じつ,ひ,か,にち"
晋,"すす,しん"
穂,"ほ,すい"
壮,"さかん,そう"
堤,"つつみ,てい"
飢,"う,き"
傍,"そば,はた,ぼう,かたわ,わき,おか"
疫,"えき,やく"
累,るい
痴,"し,おろか,ち"
搬,はん
晃,"あきらか,こう"
癒,"い,いや,ゆ"
桐,"きり,とう,どう"
寸,すん
郭,"くるわ,かく"
尿,にょう
凶,きょう
吐,"は,つ,と"
宴,"うたげ,えん"
鷹,"たか,よう,おう"
賓,ひん
虜,"とりこ,とりく,りょ,ろ"
陶,とう
鐘,"かね,しょう"
憾,"うら,かん"
猪,"い,いのしし,ちょ"
紘,"おおづな,つな,つなぐ,こう"
磁,じ
弥,"み,び,ひさし,とおい,ひさ,わた,いや,いよいよ,あまねし,や"
昆,こん
粗,"あら,そ"
訂,てい
芽,"め,が"
庄,"しょう,そ,そう,ほう"
傘,"かさ,さん"
敦,"ちょう,だん,とん,あつ,たい"
騎,き
寧,"むし,ねい"
循,じゅん
忍,"しの,にん"
怠,"おこた,なま,たい"
如,"ごと,じょ,にょ"
寮,りょう
祐,"たす,ゆう,う"
鵬,"おおとり,ほう"
鉛,"なまり,えん"
珠,"たま,しゅ"
凝,"こ,こご,ぎょう"
苗,"なえ,なわ,びょう,みょう"
獣,"けもの,けだもの,じゅう"
哀,"あわ,かな,あい"
跳,"は,と,ちょう"
匠,"たくみ,しょう"
垂,"た,たれ,たれる,なんなんと,すい,たらす"
蛇,"い,へび,じゃ,や,だ"
澄,"す,ちょう"
縫,"ぬ,ほう"
僧,そう
眺,"なが,ちょう"
亘,"わた,もと,こう,かん"
呉,"く,くれ,ご"
凡,"はん,おうよ,すべ,およ,ぼん"
憩,"いこ,けい"
媛,"ひめ,えん"
溝,"みぞ,こう"
恭,"うやうや,きょう"
刈,"か,がい,かい"
睡,すい
錯,"さく,しゃく"
伯,はく
笹,ささ
穀,こく
陵,"みささぎ,りょう"
霧,"きり,む,ぼう,ぶ"
魂,"たましい,たま,こん"
弊,へい
妃,"きさき,ひ"
舶,はく
餓,"う,が"
窮,"きわ,きゅう,きょう"
掌,"てのひら,たなごころ,しょう"
麗,"うるわ,うら,れい"
綾,"あや,りん"
臭,"くさ,にお,しゅう"
悦,"よろこ,えつ"
刃,"やいば,じん,き,は,にん"
縛,"しば,ばく"
暦,"こよみ,りゃく,れき"
宜,"よろ,ぎ"
盲,"めくら,もう"
粋,"いき,すい"
辱,"はずかし,はずかしめ,はずかしめる,じょく"
毅,"つよ,き,ぎ"
轄,"くさび,かつ"
猿,"さる,えん"
弦,"つる,げん"
稔,"じん,みの,ねん,にん,みのり"
窒,ちつ
炊,"た,だ,すい"
洪,こう
摂,"と,かね,せつ,しょう,おさ"
飽,"あ,あきる,あかす,ほう"
冗,じょう
桃,"もも,とう"
狩,"か,が,しゅ"
朱,"あけ,しゅ"
渦,"うず,か"
紳,しん
枢,"とぼそ,からくり,すう,しゅ"
碑,"いしぶみ,ひ"
鍛,"きた,たん"
刀,"かたな,そり,とう"
鼓,"つづみ,こ"
裸,"はだか,ら"
猶,"なお,ゆう,ゆ"
塊,"かたまり,つちくれ,かい,け"
旋,せん
弓,"ゆみ,きゅう"
幣,"ぬさ,へい"
膜,まく
扇,"おうぎ,せん"
腸,"はらわた,ちょう"
槽,"ふね,そう"
慈,"いつく,じ"
楊,"かわ,やなぎ,よう"
伐,"そむ,ぼち,き,ばつ,はつ,う,か"
駿,"すぐ,しゅん,すん"
漬,"つ,づ,づけ,し"
糾,"ただ,きゅう"
亮,"あきらか,りょう"
墳,ふん
坪,"つぼ,へい"
紺,こん
娯,ご
椿,"つばき,ちん,ちゅん"
舌,"した,ぜつ"
羅,"うすもの,ら"
峡,"はざま,きょう,こう"
俸,ほう
厘,りん
峰,"みね,ね,ほう"
圭,"けい,け"
醸,"かも,じょう"
蓮,"はす,はちす,れん"
弔,"とむら,とぶら,ちょう"
乙,"おと,きのと,おつ,いつ"
汁,"しる,つゆ,じゅう"
尼,"あま,に"
遍,"あまね,へん"
衡,こう
薫,"かお,くん"
猟,"かり,か,りょう,れふ"
羊,"ひつじ,よう"
款,かん
閲,"けみ,えつ"
偵,てい
喝,かつ
敢,"あ,かん"
胎,たい
酵,こう
憤,"いきどお,ふん"
豚,"ぶた,とん"
遮,"さえぎ,しゃ"
扉,"とびら,ひ"
硫,りゅう
赦,しゃ
窃,"ぬす,ひそ,せつ"
泡,"あわ,ほう"
瑞,"みず,しるし,ずい,すい"
又,"また,ゆう"
慨,がい
紡,"つむ,ぼう"
恨,"うら,こん"
肪,ぼう
扶,"たす,ふ"
戯,"ぎ,げ,ざ,じゃ,たわむ"
伍,"いつつ,ご"
忌,"い,き"
濁,"にご,だく,じょく"
奔,"はし,ほん"
斗,"と,とう"
蘭,"らん,ら"
迅,じん
肖,"あやか,しょう"
鉢,"はち,はつ"
朽,"く,きゅう"
殻,"こく,がら,ばい,かく,から"
享,"う,きょう,こう"
秦,"はた,しん"
茅,"かや,ちがや,ぼう,みょう"
藩,はん
沙,"すな,よなげる,さ,しゃ"
輔,"たす,ほ,ふ"
媒,"なこうど,ばい"
鶏,"にわとり,とり,けい"
禅,"しずか,ゆず,ぜん,せん"
嘱,"しょく,たの"
胴,どう
迭,てつ
挿,"さ,はさ,そう"
嵐,"あらし,らん"
椎,"つち,う,つい,すい"
絹,"きぬ,けん"
陪,ばい
剖,ぼう
譜,ふ
郁,いく
悠,ゆう
淑,"しと,しゅく"
帆,"ほ,はん"
暁,"あかつき,さと,ぎょう,きょう"
傑,"すぐ,けつ"
楠,"だん,ぜん,ねん,くすのき,なん,くす"
笛,"ふえ,てき"
玲,れい
奴,"やつ,やっこ,ど"
錠,じょう
拳,"こぶし,けん,げん"
翔,"かけ,と,しょう"
遷,"うつ,みやこがえ,せん"
拙,"つたな,せつ"
侍,"さむらい,はべ,じ,し"
尺,しゃく
峠,とうげ
篤,"あつ,とく"
肇,"ちょう,とう,はじ,はじめ,じょう"
渇,"かわ,かつ"
叔,しゅく
雌,"め,めす,めん,し"
亨,"とお,こう,きょう,ほう"
堪,"た,こ,こた,かん,たん,たま"
叙,"つい,ついで,じょ"
酢,"す,さく"
吟,ぎん
逓,"かわ,たがいに,てい"
嶺,"れい,りょう"
甚,"はなは,じん"
喬,"たか,きょう"
崇,"あが,すう"
漆,"うるし,しつ"
岬,"みさき,こう"
癖,"くせ,へき"
愉,"たの,ゆ"
寅,"とら,いん"
礁,しょう
乃,"の,あい,すなわ,だい,ない,なんじ"
洲,"しま,しゅう,す"
屯,とん
樺,"かば,かんば,か"
槙,"まき,こずえ,てん,しん"
姻,いん
巌,"いわ,いわお,けわ,がん"
擬,"まが,もど,ぎ"
塀,"へい,べい"
唇,"くちびる,しん"
睦,"むつ,ぼく,もく"
閑,かん
胡,"なんぞ,う,こ,ご"
幽,"しろ,ゆう,かす,ふか,くら,よう"
峻,"けわ,たか,しゅん"
曹,"ぞう,へや,そう,つかさ,ともがら"
詠,"よ,うた,えい"
卑,"いや,ひ"
侮,"あなど,あなどる,あなず,ぶ"
鋳,"い,ちゅう,しゅ,しゅう"
抹,まつ
尉,"い,じょう"
槻,"つき,き"
隷,"したが,しもべ,れい"
禍,"わざわい,か"
蝶,ちょう
酪,らく
茎,"くき,けい,きょう"
帥,すい
逝,"ゆ,い,せい"
汽,き
琢,"みが,たく"
匿,"かくま,とく"
襟,"えり,きん"
蛍,"ほたる,けい"
蕉,しょう
寡,か
琉,"りゅう,る"
痢,り
庸,よう
朋,"とも,ほう"
坑,こう
藍,"あい,らん"
賊,ぞく
搾,"しぼ,さく"
畔,"あぜ,くろ,ほとり,はん"
遼,りょう
唄,"うた,ばい"
孔,"あな,こう"
橘,"たちばな,きつ"
漱,"そう,くちすす,すす,す,うがい,くちそそ,しゅう"
呂,"せぼね,ろ,りょ"
拷,ごう
嬢,"むすめ,じょう"
苑,"その,う,えん,おん"
巽,"たつみ,そん"
杜,"と,やまなし,とう,ず,もり,ふさ"
渓,"たに,たにがわ,けい"
翁,"おきな,おう"
廉,れん
謹,"つつし,きん"
瞳,"ひとみ,どう,とう"
湧,"わ,ゆう,よう,ゆ"
欣,"よろこ,きん,ごん,こん"
窯,"かま,よう"
褒,"ほ,ほう"
醜,"みにく,しこ,しゅう"
升,"ます,しょう"
殉,じゅん
煩,"わずら,うるさ,はん,ぼん"
巴,"ともえ,うずまき,は"
禎,"さいわ,てい"
劾,がい
堕,"お,くず,だ"
租,そ
稜,"いつ,かど,りょう,ろう"
桟,"かけはし,さん,せん"
倭,"したが,わ,い"
婿,"むこ,せい"
慕,"した,ぼ"
斐,"ひ,い"
罷,"まか,や,ひ"
矯,"た,きょう"
某,"それがし,なにがし,ぼう"
囚,"とら,しゅう"
魁,"さきがけ,かしら,かい"
虹,"にじ,こう"
鴻,"ごう,おおとり,おおがり,ひしくい,こう"
泌,"ひつ,ひ"
於,"おい,お,ああ,よ,より"
赳,きゅう
漸,"やや,ぜん"
蚊,"か,ぶん"
葵,"あおい,き"
厄,やく
藻,"も,そう"
禄,"さいわ,ふち,ろく"
孟,"かしら,もう,ぼう,みょう"
嫡,"ちゃく,てき"
尭,"たか,ぎょう"
嚇,"おど,かく"
巳,"み,し"
凸,"でこ,とつ"
暢,"のび,ちょう"
韻,いん
霜,"しも,そう"
硝,しょう
勅,"いまし,みことのり,ちょく"
芹,"せり,きん"
杏,"あんず,きょう,あん,こう"
棺,かん
儒,じゅ
鳳,"ほう,ふう"
馨,"かお,かおり,けい,きょう"
慧,"さとい,けい,え"
愁,"うれ,しゅう"
楼,"たかどの,ろう"
彬,"うるわ,あき,ひん,ふん"
匡,"すく,きょう,おう"
眉,"まゆ,び,み"
欽,"つつし,きん,こん"
薪,"たきぎ,まき,しん"
褐,かつ
賜,"たまわ,たま,たも,し"
嵯,"さ,し"
綜,"おさ,す,そう"
繕,"つくろ,ぜん"
栓,せん
翠,"かわせみ,みどり,すい"
鮎,"あゆ,なまず,でん,ねん"
榛,"はしばみ,はり,しん,はん"
凹,"くぼ,へこ,ぼこ,おう"
艶,"つや,なま,あで,えん"
惣,"いそが,そうじて,そう"
蔦,"つた,ちょう"
錬,"ね,れん"
隼,"はやぶさ,しゅん,じゅん"
渚,"なぎさ,しょ"
衷,ちゅう
逐,ちく
斥,"しりぞ,せき"
稀,"まれ,まばら,き,け"
芙,ふ
詔,"みことのり,しょう"
皐,"さつき,こう"
雛,"すう,じゅ,す,ひな,ひよこ"
惟,"おも,これ,い,ゆい"
佑,"たす,ゆう,う"
耀,"かがや,ひかり,よう"
黛,"まゆずみ,たい"
渥,"あつ,うるお,あく"
憧,"あこが,しょう,とう,どう"
宵,"よい,しょう"
妄,"みだ,もう,ぼう"
惇,"あつ,しゅん,じゅん,とん"
脩,"おさ,なが,ほじし,しゅう"
甫,"はじ,ほ,ふ"
酌,"く,しゃく"
蚕,"かいこ,こ,さん,てん"
嬉,"うれ,たの,き"
蒼,"あお,そう"
暉,"かが,き"
頒,"わか,はん"
只,"ただ,し"
肢,し
檀,"まゆみ,だん,たん"
凱,"かちどき,やわらぐ,がい,かい"
彗,"ほうき,せい,え,すい,けい"
謄,とう
梓,"あずさ,し"
丑,"うし,ちゅう"
嗣,し
叶,"かな,きょう"
汐,"しお,うしお,せい,せき"
絢,けん
朔,"ついたち,さく"
伽,"ぎゃ,きゃ,とぎ,が,か"
畝,"うね,せ,ほ,も,ぼう,む"
抄,しょう
爽,"あき,さわ,たがう,そう"
黎,"くろ,れい,り"
惰,だ
蛮,"えびす,ばん"
冴,"こ,ご,こお,さ,ひ"
旺,"ごう,かがや,うつくし,おう,さかん,きょう"
萌,"も,きざ,めばえ,ほう"
偲,"しの,さい,し"
壱,"ひとつ,いち,いつ"
瑠,"る,りゅう"
允,"じょう,まこと,ゆるす,いん"
侯,こう
蒔,"う,まく,し,じ"
鯉,"こい,り"
弧,こ
遥,"はる,よう"
舜,しゅん
瑛,えい
附,"つ,ふ"
彪,"あや,ひょう,ひゅう"
卯,"う,ぼう,もう"
但,"ただ,たん"
綺,"あや,き"
芋,"いも,う"
茜,"あかね,せん"
凌,"しの,りょう"
皓,"しろ,ひか,こう"
洸,こう
毬,"いが,まり,きゅう"
婆,"ばば,ばあ,ば"
緋,"あけ,あか,ひ"
鯛,"たい,ちょう"
怜,"あわ,りょう,れん,さと,れい"
邑,"うれ,くに,むら,ゆう"
倣,"なら,ほう"
碧,"へき,ひゃく"
啄,"たく,ついば,とく,つく,つつ"
穣,"わら,ゆたか,じょう"
酉,"とり,ゆう"
悌,"てい,だい"
倹,"つま,つづまやか,けん"
柚,"ゆず,ゆ,ゆう,じく"
繭,"まゆ,きぬ,けん"
亦,"また,えき,やく"
詢,"はか,まこと,じゅん,しゅん"
采,"と,いろどり,さい"
紗,"うすぎぬ,さ,しゃ"
賦,"ふ,ぶ"
眸,"ひとみ,ぼう,む"
玖,"きゅう,く"
弐,"ふた,そえ,に,じ"
錘,"つむ,おもり,すい"
諄,"しゅん,くどくど,ひちくど,ねんご,くど"
倖,"しあわ,さいわ,こう"
痘,とう
笙,"ふえ,しょう,そう"
侃,"つよ,かん"
裟,"さ,しゃ"
洵,"の,まこと,じゅん,しゅん"
爾,"じ,おれ,しか,しかり,のみ,その,に,なんじ"
耗,"もう,こう,かう"
昴,"すばる,こう,ぼう"
銑,せん
莞,"い,かん"
伶,"わざおぎ,れい,りょう"
碩,"おお,せき"
宥,"なだ,ゆる,ゆう"
滉,"ひろ,こう"
晏,"おそ,あん"
伎,"わざ,わざおぎ,ぎ,き"
朕,ちん
迪,"みちび,いた,みち,すす,てき"
綸,"いと,りん,かん"
且,"か,しょ,そ,しょう"
竣,"どう,しゅん,わらべ,おわ,わらわ"
晨,"あした,とき,あさ,しん"
吏,り
燦,"さん,あき,きらめ,きら"
麿,まろ
頌,"じゅ,ほめ,しょう,たた,かたち,よう"
箇,"か,こ"
楓,"かえで,ふう"
琳,りん
梧,"あおぎり,ご"
哉,"かな,や,さい"
澪,"みお,れい"
匁,"もんめ,め"
晟,"あきらか,せい,じょう"
衿,"えり,きん,こん"
凪,"なぎ,な"
梢,"こずえ,くすのき,しょう"
丙,"ひのえ,へい"
颯,"さっ,さつ,そう"
茄,か
勺,しゃく
恕,"ゆる,じょ,しょ"
蕗,"ふき,ろ,る"
瑚,"こ,ご"
遵,じゅん
瞭,"あきらか,りょう"
燎,"かがりび,りょう"
虞,"あやま,あざむ,おそれ,ぐ,のぞ,おもんぱか,たの,うれ,はか"
柊,"ひいらぎ,しゅ,しゅう"
侑,"すす,たす,ゆう,う"
謁,えつ
斤,きん
嵩,"かさ,たか,すう,しゅう"
捺,"さ,お,なつ,だつ"
蓉,よう
茉,"まつ,ばつ,ま"
袈,"け,か"
燿,"かがや,ひかり,よう"
誼,"よしみ,よい,ぎ"
冶,"い,や"
栞,"しおり,かん"
墾,こん
勁,"つよ,けい"
菖,しょう
旦,"あした,だん,ただし,あきら,あき,あさ,たん"
椋,"むく,りょう"
叡,"あき,えい"
紬,"つむぎ,つむ,ちゅう"
胤,"たね,いん"
凜,"きびし,りん"
亥,"い,がい,かい"
爵,しゃく
脹,"は,ふく,ちょう"
麟,りん
莉,"り,らい,れい"
汰,"た,たい,にご,おご,よな"
瑶,"たま,よう"
瑳,"みが,さ"
耶,"か,や,じゃ"
椰,"やし,や"
絃,"いと,げん"
丞,"すく,たす,じょう,しょう"
璃,り
奎,"けい,き"
塑,"でく,そ"
昂,"あ,たか,こう,ごう"
柾,"まさ,まさめ,まさき"
熙,"よろこ,たのし,き,ひろ,かわ,あきらか,ひか"
菫,"すみれ,きん"
諒,"あきら,まことに,りょう"
鞠,"まり,きく,きゅう"
崚,りょう
濫,"みだ,らん"
捷,"はや,しょう,そう"
